# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (SPLICE_SITE_REGION)	Total score (SPLICE_SITE_REGION)	Length (SPLICE_SITE_REGION)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (NON_SYNONYMOUS_START)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (SPLICE_SITE_REGION)	Count (START_GAINED)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
A1BG	A1BG	mRNA	1	0	5000	1	0	1766	2	0	6694	6	0	4928	0	0	14	0	0	14	0	0	0	11	0	5000	0	0	216	0	0	62	1	0	6	1	0	0	0	0	0	0	0	0	0	0	11	0	0
A1BG-AS1	A1BG-AS1	Non-coding_transcript	4	0	5000	8	0	2130	3	0	3214	4	0	1084	0	0	6	0	0	6	1	0	0	3	0	5000	0	0	0	0	0	0	4	8	4	0	0	0	0	1	0	0	0	0	0	0	3	0	0
A1CF	A1CF	mRNA	15	0	5000	1	0	9529	146	0	86267	131	0	76738	0	0	30	0	0	28	0	0	0	11	0	5000	13	0	7320	1	0	400	15	0	131	0	0	0	0	0	0	0	0	0	1	0	11	13	1
A2M	A2M	mRNA	13	0	5000	6	0	4653	153	0	48255	146	0	43602	0	0	70	0	0	70	1	0	0	11	0	5000	0	0	115	1	0	113	13	0	146	6	0	0	0	1	0	0	0	0	0	0	11	0	1
A2M-AS1	A2M-AS1	Non-coding_transcript	20	0	5000	9	0	2187	0	0	2879	2	0	692	0	0	4	0	0	4	0	0	0	6	0	5000	0	0	0	0	0	0	20	9	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0
A2ML1	A2ML1	mRNA	30	0	5000	14	0	5363	230	0	54232	212	0	48869	0	0	70	0	0	72	1	0	0	27	0	10000	3	0	729	1	0	266	30	0	212	8	0	0	0	1	1	0	0	0	6	0	27	3	1
A2MP1	A2MP1	Non-coding_transcript	33	0	5000	4	0	1201	16	0	5675	12	0	4474	0	0	16	0	0	16	1	0	0	5	0	5000	0	0	0	0	0	0	33	4	12	0	0	0	0	1	0	0	0	0	0	0	5	0	0
A3GALT2	A3GALT2	mRNA	0	0	5000	0	0	1023	22	0	14333	22	0	13310	0	0	8	0	0	8	0	0	0	14	0	5000	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	14	0	0
A4GALT	A4GALT	mRNA	15	0	5000	2	0	2092	123	0	28750	116	0	26658	0	0	4	0	0	4	0	0	0	14	0	5000	5	0	769	0	0	261	15	0	116	0	0	0	0	0	0	0	0	0	2	0	14	5	0
A4GNT	A4GNT	mRNA	6	0	5000	3	0	1771	15	0	8670	9	0	6899	0	0	4	0	0	4	0	0	0	6	0	5000	2	0	546	1	0	202	6	0	9	1	0	0	0	0	0	0	0	0	1	1	6	2	1
